group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,gene_symbol
14,ENSG00000111676,10.988625,1.5342228,4.334805356747226e-28,1.4830236086503611e-24,0.82,0.7206482741556353,ATN1
14,ENSG00000162496,10.968794,3.8969302,5.398792805829348e-28,1.5391958289419471e-24,0.6133333333333333,0.2071013237659285,DHRS3
14,ENSG00000185650,10.661167,3.083945,1.5464457253076136e-26,3.7790715110160063e-23,0.68,0.3475194853396016,ZFP36L1
14,ENSG00000137699,10.571788,3.8970258,4.027422777983199e-26,8.611636755022575e-23,0.58,0.1572435976741309,TRIM29
14,ENSG00000162591,10.3137045,3.571716,6.109957511975508e-25,1.161299257776145e-21,0.5933333333333334,0.1975751577384634,MEGF6
14,ENSG00000074527,10.100797,3.7125354,5.479526911267479e-24,7.811065612011792e-21,0.58,0.210441667697637,NTN4
14,ENSG00000109906,9.909904,2.2152667,3.7700899114211954e-23,4.6065112874836406e-20,0.7133333333333334,0.471112210812817,ZBTB16
14,ENSG00000131746,9.573778,6.8594646,1.0306831554457879e-21,1.1019291285659782e-18,0.4666666666666667,0.0190523320549301,TNS4
14,ENSG00000167615,9.346829,0.9677415,9.031473844705918e-21,8.58291064375219e-18,0.8933333333333333,0.8814796486453049,LENG8
14,ENSG00000132849,8.990872,1.6503646,2.4527512636686562e-19,1.907125596196183e-16,0.7266666666666667,0.5969318322405047,PATJ
14,ENSG00000142973,8.427105,5.640678,3.543233616605441e-17,2.0900191119190577e-14,0.42,0.0283310651985648,CYP4B1
14,ENSG00000106571,8.198612,3.1319134,2.4317807006332412e-16,1.3418722795171684e-13,0.5066666666666667,0.1838426326858839,GLI3
14,ENSG00000138119,7.855934,3.5295303,3.9680288391369405e-15,1.5785372400529422e-12,0.4533333333333333,0.1244587405666213,MYOF
14,ENSG00000120549,7.4789333,2.2499123,7.492830919813698e-14,2.0344819954656048e-11,0.54,0.336508722009155,KIAA1217
14,ENSG00000198467,7.1909647,1.942583,6.433515320918446e-13,1.507557713419602e-10,0.58,0.3965111963379933,TPM2
14,ENSG00000146648,7.136533,3.3169644,9.57144808085902e-13,2.1179613867657818e-10,0.4333333333333333,0.1496968947173079,EGFR
2,ENSG00000073060,53.219597,6.601105,0.0,0.0,0.9964570416297608,0.3540259009009009,SCARB1
2,ENSG00000231852,52.96408,7.076492,0.0,0.0,0.9964570416297608,0.2699887387387387,CYP21A2
2,ENSG00000160882,52.78769,8.171765,0.0,0.0,0.9937998228520816,0.2518299549549549,CYP11B1
2,ENSG00000023171,52.49409,6.626225,0.0,0.0,0.9884853852967228,0.1528716216216216,GRAMD1B
2,ENSG00000147465,51.740044,6.5754337,0.0,0.0,0.9982285208148804,0.2811092342342342,STAR
2,ENSG00000148795,50.686596,6.2084193,0.0,0.0,0.9964570416297608,0.2764639639639639,CYP17A1
2,ENSG00000116133,50.577713,4.9319534,0.0,0.0,0.9884853852967228,0.3627533783783784,DHCR24
2,ENSG00000130164,50.177547,5.368034,0.0,0.0,0.966341895482728,0.2331081081081081,LDLR
2,ENSG00000085662,50.055965,5.1575456,0.0,0.0,0.9822852081488044,0.2871621621621621,AKR1B1
2,ENSG00000137714,49.61315,5.589304,0.0,0.0,0.9627989371124888,0.1780686936936936,FDX1
2,ENSG00000215187,49.533978,6.206944,0.0,0.0,0.9424269264836138,0.0990990990990991,FAM166B
2,ENSG00000140459,48.901775,5.595837,0.0,0.0,0.949512843224092,0.1292229729729729,CYP11A1
2,ENSG00000198300,48.562737,5.272596,0.0,0.0,0.9433126660761736,0.1638513513513513,PEG3
2,ENSG00000005981,48.28583,6.0234785,0.0,0.0,0.924712134632418,0.0736204954954955,ASB4
2,ENSG00000170899,48.071712,5.01547,0.0,0.0,0.9326837909654562,0.2229729729729729,GSTA4
2,ENSG00000023330,47.653057,4.6158834,0.0,0.0,0.9468556244464128,0.3175675675675675,ALAS1
2,ENSG00000161513,47.59908,5.340549,0.0,0.0,0.9202834366696192,0.1344313063063063,FDXR
2,ENSG00000008394,46.435028,5.16035,0.0,0.0,0.9131975199291408,0.1349943693693693,MGST1
2,ENSG00000203859,46.434834,5.416452,0.0,0.0,0.9459698848538528,0.2041103603603603,HSD3B2
2,ENSG00000142494,45.86745,5.836515,0.0,0.0,0.8795394154118689,0.0737612612612612,SLC47A1
3,ENSG00000172889,25.792948,7.130649,1.0638925091732988e-146,1.819894526191845e-142,0.9536679536679536,0.1326812139453222,EGFL7
3,ENSG00000130300,22.724422,7.391956,2.5699103074965808e-114,2.1980442860018258e-110,0.8416988416988417,0.0560571858540255,PLVAP
3,ENSG00000163513,21.218721,4.5892844,6.414465140913896e-100,3.6575280233491043e-96,0.8571428571428571,0.2104339102081765,TGFBR2
3,ENSG00000179776,20.72804,7.0053368,1.935109071271377e-95,8.275493943292045e-92,0.7683397683397684,0.0309756709305242,CDH5
3,ENSG00000037280,20.652637,7.930557,9.243270171938388e-95,3.1623075912235615e-91,0.7606177606177607,0.0209430649611236,FLT4
3,ENSG00000141753,20.162382,4.3852754,2.0954889198390173e-90,5.974238910461037e-87,0.8378378378378378,0.218459994983697,IGFBP4
3,ENSG00000174640,20.109558,6.296477,6.086292518787112e-90,1.4873159975196051e-86,0.7567567567567568,0.0665914221218961,SLCO2A1
3,ENSG00000162407,20.085012,5.182555,9.979662908576401e-90,2.133901421426349e-86,0.7953667953667953,0.1941309255079006,PLPP3
