Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Neuron Migration (GO:0001764),15/55,7.600599318950146e-07,0.0001467760179592817,0,0,5.755635245901639,81.09614403085213,AUTS2;NAV1;PHOX2B;NELL1;TUBB2B;SOX1;RELN;MAP1B;DCX;TRIM46;NRCAM;DISC1;MDGA1;PAFAH1B1;CDK5R1
GO_Biological_Process_2023,"Regulation Of Synaptic Transmission, Glutamatergic (GO:0051966)",15/55,7.600599318950146e-07,0.0001467760179592817,0,0,5.755635245901639,81.09614403085213,TSHZ3;SYT1;NRXN1;GRIK3;GRIK1;GRIN2C;GRM4;RELN;CDH2;GRM7;GRM8;CACNG2;DRD2;CACNG4;HCN1
GO_Biological_Process_2023,Retrograde Axonal Transport (GO:0008090),8/15,8.998289154006789e-07,0.0001646213321017242,0,0,17.47164978460822,243.2239056665048,DLG2;DST;KIF5A;MAP1A;TMEM108;NEFL;KIF1A;PAFAH1B1
GO_Biological_Process_2023,Neuron Development (GO:0048666),26/150,1.5815939114518068e-06,0.000274574810416967,0,0,3.2329171002428025,43.182323983284775,ROBO2;APP;TENM3;TENM4;STMN2;FRY;ASCL1;GBA2;ATCAY;MAP2;STMN1;TMEM108;UNC5A;ETV1;L1CAM;POU3F2;POU4F1;PHOX2B;GPRIN3;ADCYAP1;GPRIN1;MAP1B;NEDD4;TAOK1;INSM1;CDK5R1
GO_Biological_Process_2023,Calcium-Ion Regulated Exocytosis (GO:0017156),10/26,1.658823653267062e-06,0.000274574810416967,0,0,9.565816326530612,127.31529350746092,SYT5;SYT4;RIMS3;SCIN;SYT1;SYT11;SYT10;DOC2B;SYT13;SYT9
GO_Biological_Process_2023,Neuron Projection Development (GO:0031175),30/192,2.4517106642705363e-06,0.0003835460980858275,0,0,2.858921161825726,36.93361499047963,APP;CNTNAP1;NYAP1;STMN2;USH1C;FRY;NYAP2;DOCK10;NEUROD1;ATCAY;NEUROD4;GRM7;MAP2;STMN1;TMEM108;PAK3;MNX1;ADGRV1;UNC5A;NMNAT2;L1CAM;POU4F1;GPRIN3;SHTN1;GPRIN1;MAP1B;NEDD4;TNIK;GAS7;CDK5R1
GO_Biological_Process_2023,Homophilic Cell Adhesion Via Plasma Membrane Adhesion Molecules (GO:0007156),15/60,2.537848174906224e-06,0.0003835460980858275,0,0,5.114754098360656,65.89948412297841,ROBO2;TENM3;DSCAM;CADM1;CADM2;L1CAM;ROBO1;TRO;IGSF11;CDH2;CDH13;DSCAML1;PCDHA7;SDK2;NECTIN1
GO_Biological_Process_2023,Positive Regulation Of Cell Projection Organization (GO:0031346),22/118,2.8662530222429117e-06,0.0004012324695005036,0,0,3.5270507007419623,45.01400202130349,RET;ROBO2;NDRG4;TENM3;CAMK1D;PLXND1;MAGI2;STMN2;PTN;CBFA2T2;ROBO1;INS;PTPRD;TIAM1;RELN;FUT9;DPYSL3;CAPRIN2;MAP6;PLXNC1;ROR2;TOX
GO_Biological_Process_2023,Regulation Of Anatomical Structure Morphogenesis (GO:0022603),23/127,2.8857341017009758e-06,0.0004012324695005036,0,0,3.405075844122874,43.43423230483948,BRSK1;PHLDB1;CHRNA3;PLXND1;SDC2;EFNA5;SRCIN1;MYO19;TANC2;ZDHHC15;LFNG;INF2;CDH2;ADGRB3;RUFY3;NEDD4;TNIK;KIF1A;PAK3;ZNF135;PPFIA2;CLASP2;CDK5R1
GO_Biological_Process_2023,Glutamate Receptor Signaling Pathway (GO:0007215),11/35,5.010068182736167e-06,0.0006529248341475525,0,0,7.017667483660131,85.64404228431964,GRIA2;GRM4;GRM7;KCNB1;GRM8;GRIK3;GRIK1;GRIK2;GRIN2C;GRIA4;CDK5R1
